temperature,time_s,soc
0C,222.0,0.21262314678017263
0C,222.5,0.21266373196535782
0C,223.0,0.212704317150543
0C,223.5,0.21274490233572818
0C,224.0,0.21278548922192825
0C,224.5,0.21282608036066547
0C,225.0,0.21286667575193988
0C,225.5,0.21290727539575147
0C,226.0,0.21294787595130701
0C,226.5,0.21298847650686256
0C,227.0,0.2130290770624181
0C,227.5,0.21306967761797366
0C,228.0,0.2131102726453691
0C,228.5,0.21315085385236432
0C,229.0,0.2131914231116236
0C,229.5,0.21323199237088286
0C,230.0,0.21327256163014213
0C,230.5,0.2133131308894014
0C,231.0,0.21335370014866067
0C,231.5,0.21339426940791995
0C,232.0,0.21343484431793777
0C,232.5,0.2134754263549748
0C,233.0,0.21351600839201182
0C,233.5,0.21355659042904884
0C,234.0,0.21359718126402788
0C,234.5,0.2136377940938619
0C,235.0,0.2136784289185509
0C,235.5,0.2137190857380949
0C,236.0,0.2137597457380949
0C,236.5,0.2138004057380949
0C,237.0,0.2138410657380949
0C,237.5,0.21388172573809489
0C,238.0,0.2139223674281068
0C,238.5,0.21396296334314852
0C,239.0,0.2140035233431485
0C,239.5,0.2140440833431485
0C,240.0,0.2140846433431485
0C,240.5,0.2141252033431485
0C,241.0,0.2141657633431485
0C,241.5,0.21420632334314849
0C,242.0,0.2142469298023215
0C,242.5,0.21428758554306224
0C,243.0,0.21432824128380298
0C,243.5,0.21436889702454373
0C,244.0,0.2144095427746855
0C,244.5,0.21445016354832983
0C,245.0,0.21449075934547673
0C,245.5,0.21453133016612622
0C,246.0,0.21457189961057066
0C,246.5,0.2146124690550151
0C,247.0,0.21465303849945955
0C,247.5,0.214693607943904
0C,248.0,0.21473417358730973
0C,248.5,0.21477472972811865
0C,249.0,0.21481527935774827
0C,249.5,0.2148558289873779
0C,250.0,0.21489637861700753
0C,250.5,0.21493692824663715
0C,251.0,0.21497747787626678
0C,251.5,0.2150180275058964
0C,252.0,0.21505862031222905
0C,252.5,0.21509924827519203
0C,253.0,0.215139876238155
0C,253.5,0.21518050420111798
0C,254.0,0.21522112404100646
0C,254.5,0.21526172357320875
0C,255.0,0.21530230279772486
0C,255.5,0.21534286242735448
0C,256.0,0.2153834220569841
0C,256.5,0.21542398168661372
0C,257.0,0.21546454131624335
0C,257.5,0.21550510094587297
0C,258.0,0.21554567656194606
0C,258.5,0.21558629214412786
0C,259.0,0.21562693510709083
0C,259.5,0.2156675780700538
0C,260.0,0.21570822103301676
0C,260.5,0.21574886399597973
0C,261.0,0.2157895069589427
0C,261.5,0.21583014992190566
0C,262.0,0.2158707996038142
0C,262.5,0.2159114560852957
0C,263.0,0.21595211256677718
0C,263.5,0.21599276904825868
0C,264.0,0.2160334130594265
0C,264.5,0.21607402589481015
0C,265.0,0.21611460755440962
0C,265.5,0.2161551580382249
0C,266.0,0.216195702112299
0C,266.5,0.21623624618637308
0C,267.0,0.21627679026044716
0C,267.5,0.21631733433452124
0C,268.0,0.21635789365524452
0C,268.5,0.2163984910925908
0C,269.0,0.2164391266465601
0C,269.5,0.21647976238730082
0C,270.0,0.21652039812804155
0C,270.5,0.21656103386878228
0C,271.0,0.216601669609523
0C,271.5,0.21664230535026374
0C,272.0,0.21668291999839515
0C,272.5,0.2167234916650618
0C,273.0,0.21676406333172846
0C,273.5,0.2168046349983951
0C,274.0,0.2168452018866844
0C,274.5,0.21688575682903025
0C,275.0,0.21692629982543263
0C,275.5,0.21696683087589155
0C,276.0,0.21700735457959525
0C,276.5,0.21704787828329894
0C,277.0,0.21708840198700263
0C,277.5,0.21712892569070633
0C,278.0,0.21716944957854303
0C,278.5,0.21720997392671224
0C,279.0,0.21725049873521393
0C,279.5,0.21729102373521395
0C,280.0,0.21733154873521396
0C,280.5,0.21737207373521397
0C,281.0,0.21741259873521399
0C,281.5,0.217453123735214
0C,282.0,0.21749364442351485
0C,282.5,0.21753415433256781
0C,283.0,0.2175746619251604
0C,283.5,0.21761516951775298
0C,284.0,0.21765567711034556
0C,284.5,0.21769618470293814
0C,285.0,0.21773669229553072
0C,285.5,0.2177771998881233
0C,286.0,0.21781771358614135
0C,286.5,0.21785822858614134
0C,287.0,0.21789874358614134
0C,287.5,0.21793925858614133
0C,288.0,0.21797978579457664
0C,288.5,0.21802034352410019
0C,289.0,0.21806093177471197
0C,289.5,0.21810154918211938
0C,290.0,0.2181421665895268
0C,290.5,0.2181827839969342
0C,291.0,0.2182234014043416
0C,291.5,0.218264018811749
0C,292.0,0.2183046342550333
0C,292.5,0.21834524478800976
0C,293.0,0.21838585126949125
0C,293.5,0.21842645775097275
0C,294.0,0.21846706423245424
0C,294.5,0.21850767071393573
0C,295.0,0.21854827719541722
0C,295.5,0.21858888367689872
0C,296.0,0.2186294819569824
0C,296.5,0.21867006288290833
0C,297.0,0.21871064380883426
0C,297.5,0.2187512247347602
0C,298.0,0.21879181421915572
0C,298.5,0.21883242509972523
0C,299.0,0.21887305737646873
0C,299.5,0.21891371104938623
0C,300.0,0.21895438345679363
0C,300.5,0.21899505586420104
0C,301.0,0.21903572827160844
0C,301.5,0.21907640067901585
0C,302.0,0.21911706259014246
0C,302.5,0.21915769826056716
0C,303.0,0.21919830769028992
0C,303.5,0.21923889361621585
0C,304.0,0.21927947954214178
0C,304.5,0.2193200654680677
0C,305.0,0.21936065139399363
0C,305.5,0.21940123731991956
0C,306.0,0.21944183399373549
0C,306.5,0.21948245753727644
0C,307.0,0.21952310568542457
0C,307.5,0.2195637538335727
0C,308.0,0.21960440198172085
0C,308.5,0.21964505012986899
0C,309.0,0.21968569827801712
0C,309.5,0.21972634642616526
0C,310.0,0.21976697457644434
0C,310.5,0.2198075549468147
0C,311.0,0.21984813531718506
0C,311.5,0.2198887156875554
0C,312.0,0.21992929605792577
0C,312.5,0.21996987642829613
0C,313.0,0.2200104567986665
0C,313.5,0.22005103716903684
0C,314.0,0.2200916394386161
0C,314.5,0.22013224203120868
0C,315.0,0.22017284462380127
0C,315.5,0.22021344721639385
0C,316.0,0.2202540472217731
0C,316.5,0.220294640759119
0C,317.0,0.22033522782843154
0C,317.5,0.22037580842971072
0C,318.0,0.22041638880008108
0C,318.5,0.22045696917045143
0C,319.0,0.2204975495408218
0C,319.5,0.22053812991119215
0C,320.0,0.22057873003746403
0C,320.5,0.22061937955348968
0C,321.0,0.2206600784592691
0C,321.5,0.22070078012593577
0C,322.0,0.22074148179260245
0C,322.5,0.22078218345926912
0C,323.0,0.22082288512593579
0C,323.5,0.22086358679260246
0C,324.0,0.22090424852836307
0C,324.5,0.2209448104368586
0C,325.0,0.22098536377019193
0C,325.5,0.22102591710352526
0C,326.0,0.2210664704368586
0C,326.5,0.22110702377019192
0C,327.0,0.22114757710352526
0C,327.5,0.2211881304368586
0C,328.0,0.2212287045573813
0C,328.5,0.2212692847425665
0C,329.0,0.22130986492775168
0C,329.5,0.22135044511293686
0C,330.0,0.2213910326524151
0C,330.5,0.22143163857762604
0C,331.0,0.22147226288856964
0C,331.5,0.2215129055852459
0C,332.0,0.22155355243709773
0C,332.5,0.22159419928894958
0C,333.0,0.22163484614080142
0C,333.5,0.22167549299265327
0C,334.0,0.2217161436203298
0C,334.5,0.22175680368756798
0C,335.0,0.22179747319436785
0C,335.5,0.22183814578696046
0C,336.0,0.22187881837955306
0C,336.5,0.22191949097214567
0C,337.0,0.22196016356473827
0C,337.5,0.22200083615733088
0C,338.0,0.22204150924709057
0C,338.5,0.22208218357976803
0C,339.0,0.22212285857976802
0C,339.5,0.222163533579768
0C,340.0,0.222204208579768
0C,340.5,0.222244883579768
0C,341.0,0.22228555857976798
